BMS-ID,AreaNum,OwnerCode,LocationID,,ID,X,Y,AMGX,AMGY,GrpNum,DetNum,Zone,ExitDist,RegionID,Suburb,EnableLogging,VersionNumber,Comment,ApplyThreshHold,ThreshHold,ArrivalLagTime,st1,st2,st3,typ,mnt,sub,lin,ind,con,dwg,cto,cmn,lmn,dmn,atf,ccd,pri,seq,link,vid_site,at,atd,volocc,at_st,at_fi,lcmVers,IntGrpNo,Approaches,Patching,Cost
18053,B8053,B,1761,#N/A,1761,153.029866,-27.444778,502948,6964293,NULL,NULL,NULL,0,3,HERSTON,Y,1249568143,NULL,N,NULL,0,BOWENBRIDGE ROAD,NORTHERN BUSWAY,NORTHERN ACCESS,1,B,0,92,30/07/2009,27,,L,Y,Y,Y,Y,30/07/2009,N,32,,Y,,30/07/2009,Y,6:30:00,21:30:00,L,0,1,,2
18055,B8055,B,6740,#N/A,6740,152.998761,-27.335488,499874,6976398,NULL,NULL,NULL,0,NULL,Bdgm Dow,Y,0,NULL,N,NULL,0,BRIDGEMAN ROAD,ROGHAN ROAD,NULL,NULL,NULL,NULL,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18056,B8056,B,6739,#N/A,6739,153.000885,-27.334937,500084,6976459,NULL,NULL,NULL,0,NULL,Brdgn Dw,Y,0,NULL,N,NULL,0,CARSELDINE ROAD,ROGHAN ROAD,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18057,B8057,NULL,18692,#N/A,18692,152.99192,-27.360243,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,Y,0,NULL,N,NULL,0,BECKETTS ROAD,DARIEN STREET,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18058,B8058,B,6507,#N/A,6507,153.09082,-27.38296,508974,6971140,NULL,NULL,NULL,0,NULL,BANYO,Y,0,SCATS not STREAMS PILOT Optus 3G,N,NULL,0,NUDGEE ROAD,APPROACH ROAD,BUCHANAN ROAD,NULL,NULL,NULL,74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18059,B8059,B,1762,#N/A,1762,153.029168,-27.445211,502879,6964245,NULL,NULL,NULL,0,13,HERSTON,Y,1249568143,SCATS not STREAMS PILOT,N,NULL,0,NORTHERN BUSWAY,OFF RAMP TO,BOWENBRIDGE ROAD,1,B,0,21,30/07/2009,27,,L,Y,Y,Y,N,30/07/2009,N,32,,Y,,0000-00-00,Y,0:00:00,0:00:00,L,0,0,,2
18060,B8060,B,1784,#N/A,1784,153.063357,-27.411544,506259,6967974,52,5,1006405,0,6,HENDRA,Y,1271081720,Temporary intersection for Airport Link,N,NULL,0,WIDDOP ST,AIRPORT LINK ACCESS,NULL,1,B,0,41,11/02/2009,27,S1/B806,L,N,Y,N,N,11/02/2009,N,32,,N,,0000-00-00,Y,0:00:00,0:00:00,L,0,0,,0
18061,B8061,B,18216,#N/A,18216,153.030817,-27.441084,0,0,NULL,NULL,NULL,NULL,NULL,LUTWYCHE,Y,0,NULL,N,NULL,0,LUTWYCHE RD UP RAMP,NSBT LINK,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18062,B8062,B,6173,#N/A,6173,153.073958,-27.408357,507307,6968327,NULL,NULL,NULL,0,NULL,NUDGEE,Y,0,Installed & maintained by Airport Link for construction works Optus DSL,N,NULL,0,NUDGEE ROAD,APL SPOIL HANDLING,NULL,NULL,NULL,NULL,73,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18063,B8063,B,18215,#N/A,18215,152.995652,-27.352962,0,0,NULL,NULL,NULL,NULL,NULL,BRDG DWN,Y,0,NULL,N,NULL,0,BECKETT RD,GRAHAM RD,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
